High Recall results

Input Files: 
   Extractions File: tac_development/benchmark/results/39-result-file
   Answer Key File: tac_development/benchmark/scoring/38-answer-key.txt
Output Files: 
   Scoring Report: tac_development/benchmark/scoring/39-extraction-scoring
   New Answer Key: tac_development/benchmark/scoring/39-answer-key-untagged.txt


Correct Extractions ------------------------------------------------

SentenceIndex	DocumentId	Entity	Relation	Slotfill(tag)	Correct	Incorrect	Sentence
4	APW_ENG_20081114.0274.LDC2009T13	Met general manager Peter Gelb-32	jobTitle	general manager-30	1		Angela Gheorghiu and Thomas Hampson, who also were to appear, instead will sing in a less-costly revival of Verdi's La Traviata, Met general manager Peter Gelb said Thursday.
17	APW_ENG_20081114.0274.LDC2009T13	spokeswoman Jill Fritzo-24	jobTitle	spokeswoman-22	1		Kristin is, of course, disappointed, as she was very excited to work with John Corigliano, spokeswoman Jill Fritzo said.
19	APW_ENG_20081114.0274.LDC2009T13	Tony Award-winning Chenoweth, an opera-trained soprano-15	jobTitle	soprano-15	1		Gelb hopes to find another opera for the Tony Award-winning Chenoweth, an opera-trained soprano, but nothing has been finalized.
26	APW_ENG_20081114.0274.LDC2009T13	general director Placido Domingo-45	jobTitle	general director-43	1		The dramatic changes in the nation's economy have made all of us who are responsible for WNO's welfare reluctantly come to the difficult decision to postpone the Ring Cycle until the financial climate becomes more positive, general director Placido Domingo said.
45	NYT_ENG_20080722.0242.LDC2009T13	President Bush-25	jobTitle	president-24	1		While the meeting this week between Secretary of State Condoleezza Rice and North Korean Foreign Minister Pak Ui-chun reflects a new willingness by President Bush to talk with countries he has called part of the axis of evil, it is not the first such meeting since 2000, when then-Secretary of State Madeleine K. Albright of the Clinton administration visited Pyongyang.
45	NYT_ENG_20080722.0242.LDC2009T13	Secretary of State Condoleezza Rice and North Korean Foreign Minister Pak Ui-chun-18	jobTitle	secretary of state-9	1		While the meeting this week between Secretary of State Condoleezza Rice and North Korean Foreign Minister Pak Ui-chun reflects a new willingness by President Bush to talk with countries he has called part of the axis of evil, it is not the first such meeting since 2000, when then-Secretary of State Madeleine K. Albright of the Clinton administration visited Pyongyang.
48	NYT_ENG_20080722.0242.LDC2009T13	Mayor Michael R. Bloomberg-16	jobTitle	mayor-13	1		A New York Times News Service article about the ways in which Mayor Michael R. Bloomberg might be affected by the possible doubling of his net worth following his agreement to buy Merrill Lynch's 20 percent stake in Bloomberg LP misspelled the given name of a novelist who writes about New York and money and who said the added wealth probably affects Mr. Bloomberg marginally.
77	AFP_ENG_20070214.0139.LDC2009T13	Amnesty International Malaysia executive director Josef Roy Benedict-48	jobTitle	executive director-45	1		We often think of domestic workers as people travelling out of Indonesia to other countries, but there is a large population of Indonesian domestic workers in their own country, who are not recognised by law, Amnesty International Malaysia executive director Josef Roy Benedict told reporters in Kuala Lumpur.
82	AFP_ENG_20070214.0139.LDC2009T13	Amnesty deputy Asia director Natalie Hill-17	jobTitle	deputy asia director-15	1		The government is currently failing to protect these rights, Amnesty deputy Asia director Natalie Hill said.
176	APW_ENG_20080118.0028.LDC2009T13	Jan Junczyk, 48, a reserve captain-39	jobTitle	captain-39	1		I think that only a civilian airport and the economic development of the region will allow us to overcome unemployment and in the long run create jobs, says Jan Junczyk, 48, a reserve captain in Poland's air force who once flew MiG 23s at the base.
