SentenceIndex	DocumentId	Entity	Relation	Slotfill	Correct	Incorrect	Sentence
19154	NYT_ENG_20080129.0257.LDC2009T13	University of Albany-39	city	Albany-39			He talked about the more organic aspects of coaching years ago at the Rochester Institute of Technology, about having a roster of 30 and being out lining the fields when his coaching counterpart from the University of Albany pulled up for a game with busloads of players.
987	AFP_ENG_20070702.0334.LDC2009T13	Athens International Airport SA-4	city	Athens-1			Athens International Airport SA was established in June 1996 under a partnership between the Greek state and a private consortium led by the German company Hochtief Aktiengesellshaft.
979	AFP_ENG_20070702.0334.LDC2009T13	Athens International Airport-3	city	Athens-1			Athens International Airport on Monday reported a 10.1-percent traffic increase in the first six months of 2007 to 7.4 million passengers and announced plans to triple its present capacity.
7918	APW_ENG_20070626.1332.LDC2009T13	Baghdad security plan-16	city	Baghdad-14			We hope that members of the House and Senate will give the Baghdad security plan a chance to unfold, said White House spokesman Tony Snow.
19473	NYT_ENG_20080416.0147.LDC2009T13	Baghdad drivers-8	city	Baghdad-7			And as traffic police officers warned Baghdad drivers earlier this week that seat belt enforcement was about to begin, many drivers said it was probably a good thing.
19545	NYT_ENG_20080417.0231.LDC2009T13	Baltimore Sun-7	city	Baltimore-6			In comments reported in The Baltimore Sun, members of the unit complained recently that the slow and cumbersome NATO command structure had delayed them from being utilized, and that they had been wasting time on the base rather than fighting insurgents.
4333	AFP_ENG_20081203.0425.LDC2009T13	Bangkok Bank-2	city	Bangkok-1			Bangkok Bank rose 1.00 baht to 62.00 and Siam Commercial Bank was up 0.25 baht to 42.25.
7471	APW_ENG_20070523.1557.LDC2009T13	Bangkok University-28	city	Bangkok-27			Kawasaki topped the group with 16 points, followed by South Korea's Chunnam Dragons with 10, Indonesia's Arema Malang with 4, and Bangkok University finishing bottom with 3 points.
4340	AFP_ENG_20081204.0661.LDC2009T13	Bangkok Metropolitan police-31	city	Bangkok-29			Police found a number of molotov cocktails, homemade bombs, clubs and machetes around Government House this morning, Major General Anan Srihiran, of Bangkok Metropolitan police, said.
4376	AFP_ENG_20081205.0501.LDC2009T13	Barcelona striker Thierry Henry-4	city	Barcelona-1			Barcelona striker Thierry Henry has paid his ex-wife a divorce settlement of eight million pounds (9.2 million euros, 11.8 million dollars), a report said Friday.
10992	APW_ENG_20080511.0391.LDC2009T13	FC Barcelona striker Henrik Larsson-9	city	Barcelona-6			If former Celtic and FC Barcelona striker Henrik Larsson hadn't retired from the national team two years ago, the 36-yearold Swede would also probably still be in the squad.
6256	APW_ENG_20070302.0793.LDC2009T13	Belgrade's side-20	city	Belgrade-18			Skender Hyseni, an ethnic Albanian representative at the talks, said the process was wearisome because Belgrade's side came with destructive stands and made efforts to introduce a new document.
12963	APW_ENG_20081208.0504.LDC2009T13	Berlin police-2	city	Berlin-1			Berlin police say there have been no violence or disturbances.
