SentenceIndex	DocumentId	Entity	Relation	Slotfill(tag)	Correct	Incorrect	Sentence
26	APW_ENG_20081114.0274.LDC2009T13	general director Placido Domingo-45	jobTitle	general director-43	1		The dramatic changes in the nation's economy have made all of us who are responsible for WNO's welfare reluctantly come to the difficult decision to postpone the Ring Cycle until the financial climate becomes more positive, general director Placido Domingo said.
55	NYT_ENG_20080722.0242.LDC2009T13	the Los Angeles agency-20	city	Los Angeles-19	1		Besides the advertising agency Campfire, whose founders produced The Blair Witch Project, the Los Angeles agency ... And Company also worked on the campaign, particularly on the print advertising mentioned in the column.
62	AFP_ENG_20070203.0035.LDC2009T13	Two US soldiers-3	nationality	US-2	1		Two US soldiers killed in Iraq
77	AFP_ENG_20070214.0139.LDC2009T13	Indonesian domestic workers-27	nationality	Indonesian-25	1		We often think of domestic workers as people travelling out of Indonesia to other countries, but there is a large population of Indonesian domestic workers in their own country, who are not recognised by law, Amnesty International Malaysia executive director Josef Roy Benedict told reporters in Kuala Lumpur.
77	AFP_ENG_20070214.0139.LDC2009T13	Amnesty International Malaysia executive director Josef Roy Benedict-48	nationality	Malaysia-43		1	We often think of domestic workers as people travelling out of Indonesia to other countries, but there is a large population of Indonesian domestic workers in their own country, who are not recognised by law, Amnesty International Malaysia executive director Josef Roy Benedict told reporters in Kuala Lumpur.
77	AFP_ENG_20070214.0139.LDC2009T13	Amnesty International Malaysia executive director Josef Roy Benedict-48	jobTitle	executive director-45	1		We often think of domestic workers as people travelling out of Indonesia to other countries, but there is a large population of Indonesian domestic workers in their own country, who are not recognised by law, Amnesty International Malaysia executive director Josef Roy Benedict told reporters in Kuala Lumpur.
86	NYT_ENG_20080114.0047.LDC2009T13	TO DETECTIVE ' S APPEAL-8	jobTitle	detective-5		1	GETTING CLUED IN TO DETECTIVE ' S APPEAL
129	XIN_ENG_20081004.0006.LDC2009T13	Turkish military-2	nationality	Turkish-1	1		Turkish military said on Saturday that 15 soldiers from the Turkish security forces were killed in a terrorist attack staged by the banned Kurdish Worker's Party (PKK) province of Hakkari in southeastern late Friday.
129	XIN_ENG_20081004.0006.LDC2009T13	the Turkish security forces-13	nationality	Turkish-11	1		Turkish military said on Saturday that 15 soldiers from the Turkish security forces were killed in a terrorist attack staged by the banned Kurdish Worker's Party (PKK) province of Hakkari in southeastern late Friday.
131	AFP_ENG_20080923.0500.LDC2009T13	South African lawmakers-3	nationality	South African-2	1		South African lawmakers rubberstamped President Thabo Mbeki's resignation Tuesday, as he attempts to mend his bruised reputation from charges he interfered in the prosecution of rival Jacob Zuma.
133	AFP_ENG_20080923.0500.LDC2009T13	African National Congress deputy chief Kgalema Motlanthe-7	jobTitle	chief-5		1	African National Congress deputy chief Kgalema Motlanthe was named as the party's candidate to take over as head of state.
150	AFP_ENG_20080923.0500.LDC2009T13	South Africa's economy-19	nationality	South Africa-17	1		According to Fitch Ratings, Mbeki's resignation adds a level of political uncertainty to South Africa's economy already challenged on both international and domestic fronts.
157	APW_ENG_20080118.0028.LDC2009T13	Russian retaliation-17	nationality	Russian-16	1		But the future may hold a different twist -- and has many locals fearful of Russian retaliation.
165	APW_ENG_20080118.0028.LDC2009T13	Russia's missile forces-14	nationality	Russia-11	1		Last year, Gen. Nikolai Solovtsov, head of Russia's missile forces, warned that Moscow could target future bases in Poland and the Czech Republic with Russian missiles.
165	APW_ENG_20080118.0028.LDC2009T13	Russian missiles-31	nationality	Russian-30	1		Last year, Gen. Nikolai Solovtsov, head of Russia's missile forces, warned that Moscow could target future bases in Poland and the Czech Republic with Russian missiles.
176	APW_ENG_20080118.0028.LDC2009T13	Poland's air force-44	nationality	Poland-41	1		I think that only a civilian airport and the economic development of the region will allow us to overcome unemployment and in the long run create jobs, says Jan Junczyk, 48, a reserve captain in Poland's air force who once flew MiG 23s at the base.
188	XIN_ENG_20080810.0181.LDC2009T13	Xinhua)-- Chinese rider Hua Tian-11	nationality	Chinese-8		1	HONG KONG, Aug. 11 (Xinhua)-- Chinese rider Hua Tian, who saddled with hopes of the host nation at Beijing Olympic Games, fell off horse on drop fences during the Cross-Country phase of the Olympic eventing at the Beas River equestrian arena Sunday morning.
191	AFP_ENG_20080525.0498.LDC2009T13	UN chief Ban Ki-moon-4	jobTitle	chief-2		1	UN chief Ban Ki-moon said Sunday that Myanmar understood the urgency of rushing aid to two million desperate cyclone survivors, and he hoped the crisis had reached a turning point.
194	APW_ENG_20070320.1337.LDC2009T13	South Africa's seven-wicket-18	nationality	South Africa-16		1	Graeme Smith's 91 and Andrew Hall's three wickets were the highlights of South Africa's seven-wicket win over Scotland in a World Cup Group A match on Tuesday.
197	APW_ENG_20070320.1337.LDC2009T13	South Africa's comfortable victory-29	nationality	South Africa-26		1	Smith and de Villiers, who hit nine fours and two sixes in 45 balls, shared a 134-run opening stand to set up South Africa's comfortable victory, four days before the group's defining clash with Australia.
200	APW_ENG_20070320.1337.LDC2009T13	The Pakistan coach-3	nationality	Pakistan-2	1		The Pakistan coach died Sunday in hospital after being found unconscious in his hotel room.
239	AFP_ENG_20070417.0468.LDC2009T13	his senior year-14	jobTitle	senior-13		1	Cho, a resident alien, was an undergraduate student in his senior year majoring in English.
280	AFP_ENG_20080401.0413.LDC2009T13	government spokesman Kudura Kasongo-34	jobTitle	spokesman-32	1		Kabila and Mbeki will be in Pretoria to hear the conclusions of a joint ministerial committee that has been meeting since Monday to discuss cooperation between the countries, said government spokesman Kudura Kasongo.
336	NYT_ENG_20080511.0078.LDC2009T13	their green jersey dominance of the regular season-20	school	jersey-15		1	Celtics fans figured this was the night the team would revert to their green jersey dominance of the regular season.
450	NYT_ENG_20080224.0180.LDC2009T13	the East German Communist Party-8	nationality	German-6	1		The successor to the East German Communist Party won representation in the legislature of the northern city of Hamburg on Sunday, confirming a leftward political shift across Germany.
453	NYT_ENG_20080224.0180.LDC2009T13	the German political landscape-9	nationality	German-7		1	Though a tiny slice of the German political landscape, Hamburg has in the past few weeks taken on an outsized importance as a test case for whether Germans, weary of years of belt-tightening economic restructuring, would drive the political center of gravity further left.
460	NYT_ENG_20080224.0180.LDC2009T13	The German political system-5	nationality	German-3	1		The German political system is now effectively in gridlock, said Jackson Janes, director of the American Institute for Contemporary German Studies, a research group based in Washington.
460	NYT_ENG_20080224.0180.LDC2009T13	the American Institute-21	nationality	American-20	1		The German political system is now effectively in gridlock, said Jackson Janes, director of the American Institute for Contemporary German Studies, a research group based in Washington.
466	AFP_ENG_20080110.0618.LDC2009T13	US President George W. Bush-5	nationality	US-1	1		US President George W. Bush arrived in Ramallah on Thursday after fog grounded his helicopter and he had to take a car there, officials said.
466	AFP_ENG_20080110.0618.LDC2009T13	US President George W. Bush-5	jobTitle	president-2	1		US President George W. Bush arrived in Ramallah on Thursday after fog grounded his helicopter and he had to take a car there, officials said.
477	AFP_ENG_20071103.0064.LDC2009T13	Pakistani police-2	nationality	Pakistani-1	1		Pakistani police raided the offices of the private Aaj television channel in the capital Islamabad early Sunday and attempted to confiscate broadcasting equipment, a senior producer said.
477	AFP_ENG_20071103.0064.LDC2009T13	a senior producer-27	jobTitle	senior-26		1	Pakistani police raided the offices of the private Aaj television channel in the capital Islamabad early Sunday and attempted to confiscate broadcasting equipment, a senior producer said.
500	XIN_ENG_20081216.0240.LDC2009T13	the French competition council-27	nationality	French-25	1		Global steel giant Arcelor Mittal and 10 other steel firms were fined 575 million euros (789 million U.S. dollars) Tuesday by the French competition council for price fixing, French media reported.
500	XIN_ENG_20081216.0240.LDC2009T13	French media-33	nationality	French-32	1		Global steel giant Arcelor Mittal and 10 other steel firms were fined 575 million euros (789 million U.S. dollars) Tuesday by the French competition council for price fixing, French media reported.
501	XIN_ENG_20081216.0240.LDC2009T13	the French council-7	nationality	French-6	1		In a statement, the French council said the price-fixing by the steel firms between 1999 and 2005 cost the French economy hundreds of millions of euros.
501	XIN_ENG_20081216.0240.LDC2009T13	the French economy-22	nationality	French-21	1		In a statement, the French council said the price-fixing by the steel firms between 1999 and 2005 cost the French economy hundreds of millions of euros.
506	APW_ENG_20081025.0366.LDC2009T13	Scottish Football Results-3	nationality	Scottish-1		1	Scottish Football Results
509	APW_ENG_20081025.0366.LDC2009T13	Premier League-2	jobTitle	premier-1		1	Premier League
530	APW_ENG_20080130.1413.LDC2009T13	Cameroon's 3-0 victory-23	nationality	Cameroon-20		1	Samuel Eto'o set an African Cup of Nations record Wednesday by scoring his 15th and 16th career goals in Cameroon's 3-0 victory over Sudan.
550	CNA_ENG_20080520.0006.LDC2009T13	the Taiwan Foreign Exchange-15	nationality	Taiwan-13	1		The greenback was trading at NT$30.507 at 9:30 a.m. on the Taiwan Foreign Exchange, down NT$0.041 from Monday.
574	AFP_ENG_20070922.0379.LDC2009T13	Australia 91 Japan 3-4	nationality	Australia-1		1	Australia 91 Japan 3
574	AFP_ENG_20070922.0379.LDC2009T13	Australia 91 Japan 3-4	nationality	Japan-3		1	Australia 91 Japan 3
594	AFP_ENG_20070922.0379.LDC2009T13	Argentina 3 3 0 0-5	nationality	Argentina-1		1	Argentina 3 3 0 0 113 18 14
674	APW_ENG_20081118.0379.LDC2009T13	a Somali port-30	nationality	Somali-29	1		The U.S. Navy said the MV Sirius Star was seized far off the coast of Kenya on Saturday and that the bandits were taking the ship to a Somali port known as a hub of pirate activity.
678	APW_ENG_20081118.0379.LDC2009T13	Somali pirates-4	nationality	Somali-3	1		Attacks by Somali pirates have surged this year as bandits have become bolder, better armed and capable of operating hundreds of miles from shore.
681	APW_ENG_20081118.0379.LDC2009T13	The Saudi tanker-3	nationality	Saudi-2	1		The Saudi tanker, however, was seized far to the south of the patrolled zone, about 450 nautical miles (833 kilometers) southeast of Mombasa, Kenya, according the U.S. Navy.
683	APW_ENG_20081118.0379.LDC2009T13	a Ukrainian ship-32	nationality	Ukrainian-31	1		The U.S. Navy's 5th Fleet said Tuesday it was monitoring the situation but didn't expect to send warships to surround the vessel as it has done with a Ukrainian ship loaded with tanks and other weaponry the was seized off the Somali coast on Sept. 25 and remains in pirate hands.
683	APW_ENG_20081118.0379.LDC2009T13	the Somali coast-45	nationality	Somali-44	1		The U.S. Navy's 5th Fleet said Tuesday it was monitoring the situation but didn't expect to send warships to surround the vessel as it has done with a Ukrainian ship loaded with tanks and other weaponry the was seized off the Somali coast on Sept. 25 and remains in pirate hands.
695	APW_ENG_20081118.0379.LDC2009T13	the Somali port of Eyl-12	nationality	Somali-9	1		The vessel is still on its wayff the Somali port of Eyl, Christensen said.
710	AFP_ENG_20071104.0430.LDC2009T13	World Cup-winning South Africa coach Jake White-7	nationality	South Africa-4	1		World Cup-winning South Africa coach Jake White has held talks with England rugby chiefs, his agent told The Sunday Times newspaper.
710	AFP_ENG_20071104.0430.LDC2009T13	England rugby chiefs-14	nationality	England-12	1		World Cup-winning South Africa coach Jake White has held talks with England rugby chiefs, his agent told The Sunday Times newspaper.
712	AFP_ENG_20071104.0430.LDC2009T13	England)-5	nationality	England-4		1	They (England) have been in touch, White's agent Craig Livingstone told The Sunday Times.
759	XIN_ENG_20080503.0060.LDC2009T13	the senior French official-7	jobTitle	senior-5		1	The remarks by the senior French official are coming at a time when analysts both inside and outside Africa are wondering whether France will pursue a policy of continuity with Africa or a new break as promised by President Nicolas Sarkozy ahead of his electoral triumph.
759	XIN_ENG_20080503.0060.LDC2009T13	the senior French official-7	nationality	French-6	1		The remarks by the senior French official are coming at a time when analysts both inside and outside Africa are wondering whether France will pursue a policy of continuity with Africa or a new break as promised by President Nicolas Sarkozy ahead of his electoral triumph.
759	XIN_ENG_20080503.0060.LDC2009T13	President Nicolas Sarkozy-43	jobTitle	president-41	1		The remarks by the senior French official are coming at a time when analysts both inside and outside Africa are wondering whether France will pursue a policy of continuity with Africa or a new break as promised by President Nicolas Sarkozy ahead of his electoral triumph.
761	XIN_ENG_20080503.0060.LDC2009T13	French nationals-3	nationality	French-2	1		Addressing French nationals residing in Senegal in the presence of the ambassadorr Jean-Christophe Rufin, Joyandet took time to stress the benefits of the existing ties, including economic ones, between France and Senegal.
762	XIN_ENG_20080503.0060.LDC2009T13	French citizens-5	nationality	French-4	1		Over 25,000 French citizens live and work in Senegal, where one of the largest French communities in sub-Saharan Africa is founded, said the French diplomat.
762	XIN_ENG_20080503.0060.LDC2009T13	the largest French communities-18	nationality	French-17	1		Over 25,000 French citizens live and work in Senegal, where one of the largest French communities in sub-Saharan Africa is founded, said the French diplomat.
762	XIN_ENG_20080503.0060.LDC2009T13	the French diplomat-29	nationality	French-28	1		Over 25,000 French citizens live and work in Senegal, where one of the largest French communities in sub-Saharan Africa is founded, said the French diplomat.
764	XIN_ENG_20080503.0060.LDC2009T13	France's aid-21	nationality	France-19	1		In terms of Official Development Assistance, Senegal is the country that receives the largest share of France's aid in sub- Saharan Africa, said the French official ahead of a meeting with Senegalese President Abdoulaye Wade.
764	XIN_ENG_20080503.0060.LDC2009T13	Senegalese President-39	nationality	Senegalese-38	1		In terms of Official Development Assistance, Senegal is the country that receives the largest share of France's aid in sub- Saharan Africa, said the French official ahead of a meeting with Senegalese President Abdoulaye Wade.
764	XIN_ENG_20080503.0060.LDC2009T13	the French official-32	nationality	French-31	1		In terms of Official Development Assistance, Senegal is the country that receives the largest share of France's aid in sub- Saharan Africa, said the French official ahead of a meeting with Senegalese President Abdoulaye Wade.
766	AFP_ENG_20071222.0093.LDC2009T13	Slovenian and Hungarian dignitaries-6	nationality	Slovenian-3	1		EU, Slovenian and Hungarian dignitaries took part in a last round of celebrations Saturday to welcome nine mainly eastern European countries into the passport-free Schengen zone.
766	AFP_ENG_20071222.0093.LDC2009T13	Slovenian and Hungarian dignitaries-6	nationality	Hungarian-5	1		EU, Slovenian and Hungarian dignitaries took part in a last round of celebrations Saturday to welcome nine mainly eastern European countries into the passport-free Schengen zone.
770	AFP_ENG_20071222.0093.LDC2009T13	European Commission President Jose Manuel Barroso-28	jobTitle	commission president-25	1		That was Europe 20 years ago, Europe divided, a great part of Europe without access to freedom, European Commission President Jose Manuel Barroso added.
779	AFP_ENG_20071222.0093.LDC2009T13	Austrian Interior Minister Guenther Platter-39	nationality	Austrian-35	1		Earlier Saturday, Socrates had taken part in another ceremony at Hegyeshalom, on the Austro-Hungarian border near Slovakia, alongside Barroso, Hungarian premier Ferenc Gyurcsany, his Slovakian counterpart Robert Fico and Austrian Interior Minister Guenther Platter.
779	AFP_ENG_20071222.0093.LDC2009T13	Austrian Interior Minister Guenther Platter-39	jobTitle	minister-37		1	Earlier Saturday, Socrates had taken part in another ceremony at Hegyeshalom, on the Austro-Hungarian border near Slovakia, alongside Barroso, Hungarian premier Ferenc Gyurcsany, his Slovakian counterpart Robert Fico and Austrian Interior Minister Guenther Platter.
