SentenceIndex	DocumentId	Entity	Relation	Slotfill	Correct	Incorrect	Sentence
4	AFP_ENG_20030226.0513.LDC2007T07	Spanish Prime Minister Jose Maria Aznar-41	jobTitle	prime minister-38	1		The men repatriated Wednesday by the International Committee of the Red Cross were freed by Polisario, which has proclaimed a Sahrawi Arab Democratic Republic (SADR) in the disputed territory, after intervention by Spanish Prime Minister Jose Maria Aznar.
4	AFP_ENG_20030226.0513.LDC2007T07	Spanish Prime Minister Jose Maria Aznar-41	nationality	spanish-36	1		The men repatriated Wednesday by the International Committee of the Red Cross were freed by Polisario, which has proclaimed a Sahrawi Arab Democratic Republic (SADR) in the disputed territory, after intervention by Spanish Prime Minister Jose Maria Aznar.
7	AFP_ENG_20030226.0513.LDC2007T07	German secretary of state for foreign affairs Juergen Chrobog-38	nationality	german-30	1		In January 2002, the Polisario Front freed 115 Moroccan troops following intervention by Aznar, and five months later another 101 men were released after similar moves by German secretary of state for foreign affairs Juergen Chrobog.
17	AFP_ENG_20031221.0338.LDC2007T07	Kuwait's emir-13	nationality	kuwait-11	1		The five-minute opening session was marked by the absence of Kuwait's emir who earlier in the day was at the airport to receive all delegates.
29	AFP_ENG_20031221.0338.LDC2007T07	Qatari Emir Sheikh Hamad bin Khalifa al-Thani-18	nationality	qatari-12	1		Only two heads of state, Bahrain's King Hamad and Qatari Emir Sheikh Hamad bin Khalifa al-Thani, are attending.
40	AFP_ENG_20070102.0312.LDC2009T13	German prosecutors-9	nationality	german-8	1		Siemens is also facing an investigation by German prosecutors over alleged embezzlement, bribery and tax evasion.
43	AFP_ENG_20070104.0548.LDC2009T13	Iraq commanders-6	nationality	iraq-5	1		Bush to appoint new Iraq commanders
54	AFP_ENG_20070104.0548.LDC2009T13	Secretary of State Condoleezza Rice-28	jobTitle	secretary of state-26	1		He is expected to announce Friday that he is moving Director of National Intelligence John Negroponte to the State Department as deputy to Secretary of State Condoleezza Rice.
55	AFP_ENG_20070104.0548.LDC2009T13	US diplomat-22	nationality	us-21	1		He also will nominate next week Zalmay Khalilzad, the US ambassador to Iraq, to be the new top US diplomat at the United Nations, a senior US official said.
68	AFP_ENG_20070116.0198.LDC2009T13	Britain's finance minister-4	nationality	britain-1	1		Britain's finance minister heads to India
72	AFP_ENG_20070116.0198.LDC2009T13	Prime Minister Tony Blair-29	jobTitle	prime minister-27	1		Brown -- best known for his careful stewardship of the British economy -- is widely seen as the man most likely to take over when Prime Minister Tony Blair leaves office within the next nine months.
83	AFP_ENG_20070118.0061.LDC2009T13	Israeli soldiers-27	nationality	israeli-26	1		Halutz resigned Wednesday over this summer's war in Lebanon, which came under fire in Israel for not meeting its objectives of freeing captive Israeli soldiers and stopping Hezbollah from attacking the Jewish state.
100	AFP_ENG_20070122.0520.LDC2009T13	critic Richard Roeper-37	jobTitle	critic-35	1		Simpson has been nominated for "Employee of the Month", while Lohan, who last week entered a rehabilitation centre, received a nod for "Just My Luck", dismissed by prominent critic Richard Roeper as "a real piece of junk".
130	AFP_ENG_20070130.0291.LDC2009T13	Greek students-2	nationality	greek-1	1		Greek students demand return of Parthenon Marbles
153	AFP_ENG_20070208.0449.LDC2009T13	Dick Green, an analyst-19	jobTitle	analyst-19	1		It can even be called a rare 'blowout' fourth quarter number," Dick Green, an analyst at Briefing.com, said of Disney's earnings.
218	AFP_ENG_20070219.0554.LDC2009T13	Karnataka Chambers of Commerce and Industry-25	province	karnataka-20	1		"Every Bangalorean is proud of MTR," said R. C. Purohit, president of the Federation of Karnataka Chambers of Commerce and Industry.
218	AFP_ENG_20070219.0554.LDC2009T13	R. C. Purohit, president of the Federation of Karnataka Chambers-21	jobTitle	president-15	1		"Every Bangalorean is proud of MTR," said R. C. Purohit, president of the Federation of Karnataka Chambers of Commerce and Industry.
229	AFP_ENG_20070219.0554.LDC2009T13	Indian contributor-4	nationality	indian-3	1		And an Indian contributor from Oslo, wondered whether he would now be able to buy MTR's ready-to-eat bisibele baath, a popular rice-lentil-vegetable preparation, in the Norwegian capital.
280	AFP_ENG_20070222.0596.LDC2009T13	Phoenix Suns-21	city	phoenix-20	1		A five-time NBA All-Star, Johnson played 1,100 NBA games over 14 seasons with the Celtics, Sonics and Phoenix Suns after being selected in the second round of the 1976 NBA Draft by Seattle.
296	AFP_ENG_20070225.0398.LDC2009T13	Saudi officials-2	nationality	saudi-1	1		Saudi officials are considering plans to raise the cost of hiring foreign workers for the private sector in an effort to boost employment levels, the country's deputy labour minister told the Financial Times in an interview published Monday.
298	AFP_ENG_20070225.0398.LDC2009T13	Saudi worker-26	nationality	saudi-25	1		According to Humaid, the solution is "to increase the cost of expatriate labour to make it comparable to the cost of the Saudi worker."
300	AFP_ENG_20070225.0398.LDC2009T13	Saudi worker-19	nationality	saudi-18	1		In the long-term, the government's objective is to foster an economic environment where the "Saudi worker becomes productive so the economy becomes more competitive internationally," Humaid said.
309	AFP_ENG_20070227.0648.LDC2009T13	Birmingham keeper Colin Doyle-17	city	birmingham-14	1		Dennis Wise's team were close to equalising just before the break when Birmingham keeper Colin Doyle got a touch on Richard Cresswell's shot to divert the ball onto a post before Martin Taylor hacked off the line.
315	AFP_ENG_20070227.0648.LDC2009T13	Norwich keeper Paul Gallacher-18	city	norwich-15	1		Bell set up Luton's second in the 48th minute as he skipped around Norwich keeper Paul Gallacher and crossed to Drew Talbot, who looped a header into the empty net.
329	AFP_ENG_20070306.0516.LDC2009T13	British composers-4	nationality	british-3	1		Works by British composers will feature highly on the programme of this year's festival.
339	AFP_ENG_20070307.0556.LDC2009T13	British lawmakers-2	nationality	british-1	1		British lawmakers back fully elected House of Lords
368	AFP_ENG_20070307.0556.LDC2009T13	England archbishops-8	nationality	england-7	1		It also features 26 Church of England archbishops and bishops and 12 Law Lords -- members of Britain's highest appeal court.
377	AFP_ENG_20070309.0270.LDC2009T13	publisher Emap London Lifestyle Ltd-20	city	london-18	1		Winslet -- nominated for Best Actress at this year's Oscars -- immediately complained to publisher Emap London Lifestyle Ltd, saying the article suggested she had lied to the public.
508	AFP_ENG_20070401.0055.LDC2009T13	German swimmers-6	nationality	german-5	1		Swimming: Coach slams German swimmers over limp worlds
532	AFP_ENG_20070401.0408.LDC2009T13	British Defence Secretary Des Browne-13	nationality	british-9	1		In an interview from Afghanistan earlier Sunday, British Defence Secretary Des Browne said: "We are in direct bilateral communication with the Iranians and they know that not only are we in a very clear position but that we have the support of almost all of the international community."
538	AFP_ENG_20070405.0107.LDC2009T13	King Abdullah-25	jobTitle	king-24	1		US House speaker Nancy Pelosi was due to visit an all-male advisory council in key ally Saudi Arabia Thursday after discussing Iraq with King Abdullah on the last leg of a controversial Middle East trip.
538	AFP_ENG_20070405.0107.LDC2009T13	US House speaker Nancy Pelosi-5	nationality	us-1	1		US House speaker Nancy Pelosi was due to visit an all-male advisory council in key ally Saudi Arabia Thursday after discussing Iraq with King Abdullah on the last leg of a controversial Middle East trip.
539	AFP_ENG_20070405.0107.LDC2009T13	Saudi monarch-20	nationality	saudi-19	1		Pelosi, whose earlier stop in Syria has been fiercely criticised by the White House, met the Saudi monarch on Wednesday, one week after he slammed US control of Iraq as "an illegitimate foreign occupation" and warned that the country could slide into a sectarian civil war.
540	AFP_ENG_20070405.0107.LDC2009T13	US Democrat-6	nationality	us-5	1		Abdullah and the leading US Democrat discussed "the whole range of developments on the regional and international scenes, chiefly those pertaining to the Palestinian issue and the situation in Iraq," official Saudi media said.
541	AFP_ENG_20070405.0107.LDC2009T13	Palestinian refugees-50	nationality	palestinian-49	1		He had blasted the US occupation of Iraq at an Arab summit in Riyadh which revived a five-year-old Saudi plan that offers Israel normal relations if it withdraws from all land seized in the 1967 war and allows the creation of a Palestinian state and the return of Palestinian refugees.
544	AFP_ENG_20070405.0107.LDC2009T13	Palestinian moderates-39	nationality	palestinian-38	1		Analysts said the king's criticism reflected a belief that the US administration's strategy in Iraq is doomed as well as frustration that President George W. Bush has rejected a Saudi- brokered power-sharing deal between US-backed Palestinian moderates and the militant Islamist group Hamas.
544	AFP_ENG_20070405.0107.LDC2009T13	President George W. Bush-28	jobTitle	president-25	1		Analysts said the king's criticism reflected a belief that the US administration's strategy in Iraq is doomed as well as frustration that President George W. Bush has rejected a Saudi- brokered power-sharing deal between US-backed Palestinian moderates and the militant Islamist group Hamas.
632	AFP_ENG_20070425.0475.LDC2009T13	Israel PM-2	nationality	israel-1	1		Israel PM threatened by another criminal probe by Charly Wegman
640	AFP_ENG_20070425.0475.LDC2009T13	Jerusalem mayor-22	city	jerusalem-21	1		The former business partner in question is lawyer Uriel Meser, who is widely credited with having Olmert elected as Jerusalem mayor in 1998.
