Run2	OpenIE-KBP with Stanford coref						Official tagging			Our tagging		
							0.72	0.81		0.89		
							60	7	16	74	9	
SF query	query entity	entity	relation	slotfill	document	context	corr	inexact	err	corr	err	comment
SF14_ENG_001	Ahmed Rashid	Ahmed Rashid	per:employee_or_member_of	Financial Times	bolt-eng-DF-201-185517-396939	Yup. All US aid to the Muj was supposed to go went through the ISI. Most of it did. The ISI decided which of the warlords to give it to. <quote> He also claims that the US worked with Pakistan to create the Taliban. [Times of India, 3/7/2001]  </quote> He can claim anything he wants to.  <quote> Similarly, in 2000, Ahmed Rashid, longtime regional correspondent for the Financial Times and the Daily Telegraph, called the US Pakistans closest ally, with deep links to [Pakistans] military and the ISI. Rashid agrees with Harrison that the US had a role in the creation of the Taliban. [Center for Public Integrity, 9/13/2001] " 	1			1		
SF14_ENG_001	Ahmed Rashid	Ahmed Rashid	per:title	author	NYT_ENG_20091202.0160	Is it in Pakistan's interest to antagonize the Afghan Taliban now, if they will be in power two or three years down the road? said Ahmed Rashid, author of "Descent Into Chaos," explaining the thinking in Pakistani political and military circles. "Will the 	1			1		
SF14_ENG_001	Ahmed Rashid	Ahmed Rashid	per:title	correspondent	bolt-eng-DF-201-185517-396939	Yup. All US aid to the Muj was supposed to go went through the ISI. Most of it did. The ISI decided which of the warlords to give it to. <quote> He also claims that the US worked with Pakistan to create the Taliban. [Times of India, 3/7/2001]  </quote> He can claim anything he wants to.  <quote> Similarly, in 2000, Ahmed Rashid, longtime regional correspondent for the Financial Times and the Daily Telegraph, called the US Pakistans closest ally, with deep links to [Pakistans] military and the ISI. Rashid agrees with Harrison that the US had a role in the creation of the Taliban. [Center for Public Integrity, 9/13/2001] " 	1			1		
SF14_ENG_006	Christopher Bollyn	Christopher Bollyn	per:origin	American	eng-NG-31-142407-10043470	There are 21 illustrations with this text.  If you don't see them go to the URL.  Christopher Bollyn is one American you can trust for honesty, for understanding the situation and reporting what matters most.  This is a review of the facts at a time when 	1			1		
SF14_ENG_006	Christopher Bollyn	Christopher Bollyn	per:title	historian	eng-NG-31-142407-10043367	com/public/Chris_Solving_the_911_Crime_in_LA_20071125071148.jpg  Chris Bollyn in Los Angeles, California  Christopher Bollyn is an independent journalist and historian known for his in-depth research articles about 9-11,  the Middle East crisis, the dangers of TASERs and depleted uranium, 	1			1		
SF14_ENG_007	Benjamin Chertoff	Benjamin Chertoff	per:other_family	Michael Chertoff	bolt-eng-DF-201-185517-412168	Don't forget, Hearst, the fathers of yellow journalism, is a minority owner in the History Channel. Popular Mechanics is a Hearst publication. Benjamin Chertoff works for PM. Benjamin Chertoff is a cousin of Michael Chertoff, therefore Michael Chertoff and the Department of Homeland Security, along with William Randolph Hearst scripted this entire show. 	1			1		
SF14_ENG_007	Benjamin Chertoff	Benjamin Chertoff	per:title	editor	bolt-eng-DF-170-181119-8744355	popular mechanics ?..these poor deluded fools don't know the difference between a magazine article and an scientific and criminal investigation  </quote>  hahahahahahaha,i love the logic of the falsers here.popular mechanics is such a fairy tale its a joke.The editor of that fairy tale piece was Benjamin Chertoff,cousin of Bush's homeland security chief Michael Chertoff.thats like asking the fox to guard the henhouse. <img src="http://www.usmessageboard.com/images/smilies/lol.gif"/> I have said this hundreds of times but they always ignore it,they need to read Griffins book DEBUNKING THE 9/11 DEBUNKING,an answer to popular mechanics and other defenders of the official conspiracy theory.but they wont cause they have no interest in the truth.If you read that book of Griffins,like Terral said so well,you can see over a 1000 holes in Christophers theory here. 	1			1		
