Extraction Index	Sentence Index	DocId	Entity(NP)	Relation	Slotfill(tag)	Sentence
						
Correct Extractions						
0	11871	APW_ENG_20080924.0608.LDC2009T13	Police spokesman Urpo Lintula-4	jobTitle	spokesman-2	Police spokesman Urpo Lintula said Saari had acquired a permit for his weapon, a .22-caliber handgun, in August.
10	13148	LTW_ENG_20070321.0111.LDC2009T13	former Vermont governor Howard Dean-15	jobTitle	governor-13	In the last election cycle, Blue State Digital helped former Vermont governor Howard Dean bring in a flood of low-dollar online donations that catapulted him into the spotlight.
77	2160	AFP_ENG_20080202.0479.LDC2009T13	'players'' association chief Gene Upshaw-8'	jobTitle	chief-6	'However, players'' association chief Gene Upshaw warned Thursday that the union would not support regular testing for HGH via blood test.'
193	20400	XIN_ENG_20070215.0225.LDC2009T13	President Mahmoud Abbas-22	jobTitle	president-20	GAZA, Feb. 15 (Xinhua) - Palestinian Prime Minister Ismail Haneya has officially presented his resignation before President Mahmoud Abbas in a meeting held on Thursday night in Gaza City.
194	20400	XIN_ENG_20070215.0225.LDC2009T13	Palestinian Prime Minister Ismail Haneya-13	jobTitle	prime minister-11	GAZA, Feb. 15 (Xinhua) - Palestinian Prime Minister Ismail Haneya has officially presented his resignation before President Mahmoud Abbas in a meeting held on Thursday night in Gaza City.
206	8445	APW_ENG_20071104.0155.LDC2009T13	U.N. resident coordinator Charles Petrie-19	jobTitle	resident coordinator-17	'Expected to be high on Gambari''s agenda is the junta''s accusation that U.N. resident coordinator Charles Petrie went beyond his duties by criticizing the generals'' failure to meet the economic and humanitarian needs of its people, and by saying this was the cause of September''s mass pro-democracy protests.'
236	2291	AFP_ENG_20080314.0244.LDC2009T13	President Ahmedinejad-24	jobTitle	president-23	"I would hold to you that there are political consequences in that system for that failure, that fundamental failure of President Ahmedinejad and his (group) to live up to that basic commitment that they made to their people when they were elected," Casey said.
242	12577	APW_ENG_20081119.1077.LDC2009T13	Cap Cana President Ricardo Hazoury-25	jobTitle	president-23	"Our project has been affected by the economic tsunami that has paralyzed the global financial markets," said Cap Cana President Ricardo Hazoury.
288	22118	XIN_ENG_20081104.0058.LDC2009T13	National police spokesman Abubakar Nataprawira-5	jobTitle	spokesman-3	National police spokesman Abubakar Nataprawira said the threat was received through a telephone text message.
295	4052	APW_ENG_20021119.0653.LDC2007T07	Foreign Minister Benjamin Netanyahu-8	jobTitle	foreign minister-6	Sharon is currently battling Foreign Minister Benjamin Netanyahu for Likud leadership, which will be decided in a primary next week.
303	13189	LTW_ENG_20070324.0050.LDC2009T13	'Leonard Downie Jr., the newspaper''s executive editor,-10'	jobTitle	editor-9	'Leonard Downie Jr., the newspaper''s executive editor, said he was upset that the newsroom was not notified.'
325	2323	AFP_ENG_20080321.0453.LDC2009T13	President Putin-3	jobTitle	president-2	'"President Putin just told me that it won''t be easier with you than with him.'
327	692	AFP_ENG_20070404.0514.LDC2009T13	Taliban spokesman Yousuf Ahmadi-35	jobTitle	spokesman-33	"We have seized two foreigners and three Afghans -- two of them interpreters, one of them a driver -- on the road between Nimroz and Farah," said Taliban spokesman Yousuf Ahmadi.
335	21616	XIN_ENG_20080503.0060.LDC2009T13	President Nicolas Sarkozy-43	jobTitle	president-41	The remarks by the senior French official are coming at a time when analysts both inside and outside Africa are wondering whether France will pursue a policy of continuity with Africa or "a new break" as promised by President Nicolas Sarkozy ahead of his electoral triumph.
377	303	AFP_ENG_20070209.0210.LDC2009T13	Non-proliferation analyst Mark Fitzpatrick-4	jobTitle	analyst-2	'Non-proliferation analyst Mark Fitzpatrick, of the London think tank the International Institute for Strategic Studies, said: "Iran will be looking for a way to escape further sanctions" but he said that what Larijani "has to offer will likely fall short of the Security Council''s resolution for a verified suspension."'
383	4090	APW_ENG_20070105.0655.LDC2009T13	Houten city spokeswoman Marloes van Kessel-16	jobTitle	spokeswoman-13	'"It''s in very good condition," said Houten city spokeswoman Marloes van Kessel.'
400	13983	LTW_ENG_20071201.0056.LDC2009T13	former Lebanese Prime Minister Rafik Hariri-37	jobTitle	prime minister-35	'Hezbollah''s punishing war with Israel, its rapid rearmament and its successful intimidation of parliament have proceeded apace, while the United Nations tribunal charged with investigating the assassination of former Lebanese Prime Minister Rafik Hariri has dragged.'
402	16549	NYT_ENG_20070711.0226.LDC2009T13	'President Hugo Chavez''s-40'	jobTitle	president-37	'Ambassador Bernardo Alvarez Herrera said Venezuela is continuing compensation talks with major oil companies that walked away from their multibillion-dollar Venezuelan operations last month rather than agree to terms of relinquishing control in the face of President Hugo Chavez''s nationalization of oil operations.'
443	4794	APW_ENG_20070302.1121.LDC2009T13	Princess Lalla Salma-12	jobTitle	princess-10	'The North African kingdom''s massive pardon came after Princess Lalla Salma gave birth to a baby girl Wednesday.'
