SentenceIndex	DocumentId	Entity	Relation	Slotfill(tag)	Correct	Incorrect	Sentence
26	APW_ENG_20081114.0274.LDC2009T13	general director Placido Domingo-45	jobTitle	general director-43	1		The dramatic changes in the nation's economy have made all of us who are responsible for WNO's welfare reluctantly come to the difficult decision to postpone the Ring Cycle until the financial climate becomes more positive, general director Placido Domingo said.
77	AFP_ENG_20070214.0139.LDC2009T13	Indonesian domestic workers-27	nationality	Indonesian-25	1		We often think of domestic workers as people travelling out of Indonesia to other countries, but there is a large population of Indonesian domestic workers in their own country, who are not recognised by law, Amnesty International Malaysia executive director Josef Roy Benedict told reporters in Kuala Lumpur.
131	AFP_ENG_20080923.0500.LDC2009T13	South African lawmakers-3	nationality	South African-2	1		South African lawmakers rubberstamped President Thabo Mbeki's resignation Tuesday, as he attempts to mend his bruised reputation from charges he interfered in the prosecution of rival Jacob Zuma.
200	APW_ENG_20070320.1337.LDC2009T13	The Pakistan coach-3	nationality	Pakistan-2	1		The Pakistan coach died Sunday in hospital after being found unconscious in his hotel room.
280	AFP_ENG_20080401.0413.LDC2009T13	government spokesman Kudura Kasongo-34	jobTitle	spokesman-32	1		Kabila and Mbeki will be in Pretoria to hear the conclusions of a joint ministerial committee that has been meeting since Monday to discuss cooperation between the countries, said government spokesman Kudura Kasongo.
450	NYT_ENG_20080224.0180.LDC2009T13	the East German Communist Party-8	nationality	German-6	1		The successor to the East German Communist Party won representation in the legislature of the northern city of Hamburg on Sunday, confirming a leftward political shift across Germany.
466	AFP_ENG_20080110.0618.LDC2009T13	US President George W. Bush-5	jobTitle	president-2	1		US President George W. Bush arrived in Ramallah on Thursday after fog grounded his helicopter and he had to take a car there, officials said.
466	AFP_ENG_20080110.0618.LDC2009T13	US President George W. Bush-5	nationality	US-1	1		US President George W. Bush arrived in Ramallah on Thursday after fog grounded his helicopter and he had to take a car there, officials said.
477	AFP_ENG_20071103.0064.LDC2009T13	a senior producer-27	jobTitle	senior-26		1	Pakistani police raided the offices of the private Aaj television channel in the capital Islamabad early Sunday and attempted to confiscate broadcasting equipment, a senior producer said.
500	XIN_ENG_20081216.0240.LDC2009T13	the French competition council-27	nationality	French-25	1		Global steel giant Arcelor Mittal and 10 other steel firms were fined 575 million euros (789 million U.S. dollars) Tuesday by the French competition council for price fixing, French media reported.
500	XIN_ENG_20081216.0240.LDC2009T13	French media-33	nationality	French-32	1		Global steel giant Arcelor Mittal and 10 other steel firms were fined 575 million euros (789 million U.S. dollars) Tuesday by the French competition council for price fixing, French media reported.
678	APW_ENG_20081118.0379.LDC2009T13	Somali pirates-4	nationality	Somali-3	1		Attacks by Somali pirates have surged this year as bandits have become bolder, better armed and capable of operating hundreds of miles from shore.
